test_acc:0.894297385620915, recall:0.8464761182900185, f1_score:0.8676587106656617
test_acc:0.037136217003711544, recall:0.16433734939759037, f1_score:0.056840122439368965
test_acc:0.8737495143518735, recall:0.7264957457698474, f1_score:0.782117107073236
test_acc:0.7036426375556811, recall:0.662947556783317, f1_score:0.6787697140794808
test_acc:0.8815241705183496, recall:0.7744122788616181, f1_score:0.8111458487900662
test_acc:0.8886670276612065, recall:0.7788567233060626, f1_score:0.8166253008448608
test_acc:0.8886670276612065, recall:0.7788567233060626, f1_score:0.8166253008448608
test_acc:0.8886670276612065, recall:0.7788567233060626, f1_score:0.8166253008448608
test_acc:0.8886670276612065, recall:0.7788567233060626, f1_score:0.8166253008448608
test_acc:0.8886670276612065, recall:0.7788567233060626, f1_score:0.8166253008448608
test_acc:0.8223439211391019, recall:0.7186901615271659, f1_score:0.7555253792516935
