epoch:0, test_acc_:0.6458333730697632, precision:0.3983021706425962, recall:0.4006712650302255, f1_score:0.3936827241946791 
 epoch:1, test_acc_:0.671875, precision:0.5457547791694133, recall:0.3377656515448941, f1_score:0.33653249255561396 
 epoch:2, test_acc_:0.6770833730697632, precision:0.4942616372391653, recall:0.43844904280800334, f1_score:0.45722555688942246 
 epoch:3, test_acc_:0.7005208730697632, precision:0.5988360389448614, recall:0.5624595268054737, f1_score:0.5477945031293864 
 epoch:4, test_acc_:0.734375, precision:0.6076113360323887, recall:0.5657445927206584, f1_score:0.5717060943667274 
 epoch:7, test_acc_:0.7447916865348816, precision:0.7054977909835117, recall:0.6121607010351146, f1_score:0.6276850569938621 
 epoch:8, test_acc_:0.7552083730697632, precision:0.7864056776556776, recall:0.6225141601043805, f1_score:0.6182089745392609 
 epoch:9, test_acc_:0.7604166865348816, precision:0.7558223939802887, recall:0.6964262796294687, f1_score:0.7095888011453522 
 epoch:10, test_acc_:0.78125, precision:0.7665408305022874, recall:0.7256323193599771, f1_score:0.7379312470923227 
 epoch:12, test_acc_:0.7994791865348816, precision:0.7874406081723155, recall:0.72993904258093, f1_score:0.7432378894082353 
 epoch:17, test_acc_:0.828125, precision:0.8167798353909465, recall:0.770338080730017, f1_score:0.7853330237184081 
 epoch:22, test_acc_:0.8333333730697632, precision:0.8533092400119981, recall:0.7948767736181614, f1_score:0.8166583513951936 
 epoch:24, test_acc_:0.8567708730697632, precision:0.8558216794569479, recall:0.7989322181166337, f1_score:0.8250317762446487 
 epoch:28, test_acc_:0.8645833730697632, precision:0.8469841011006929, recall:0.8506193853205766, f1_score:0.8457675145276153 
 epoch:33, test_acc_:0.8723958730697632, precision:0.8237961130770646, recall:0.809724372240375, f1_score:0.8081368573156127 
 epoch:34, test_acc_:0.8828125, precision:0.8485391194171681, recall:0.8641741750912143, f1_score:0.8544255888203457 
 epoch:39, test_acc_:0.8854166865348816, precision:0.8716028062601187, recall:0.8653581610513023, f1_score:0.8670733797394927 
 epoch:42, test_acc_:0.8880208730697632, precision:0.8730686731279897, recall:0.8590202859922174, f1_score:0.8651600447762581 
 epoch:51, test_acc_:0.9114583730697632, precision:0.8859119590097467, recall:0.8920646882062598, f1_score:0.8878681659463286 
 
