epoch:0, test_acc_:0.5558678507804871, precision:0.4327008434078278, recall:0.3122844432808554, f1_score:0.3245756414880892 
 epoch:1, test_acc_:0.565003514289856, precision:0.518157417159555, recall:0.4136485891071543, f1_score:0.4226123834241094 
 epoch:3, test_acc_:0.5804638266563416, precision:0.4818069499700474, recall:0.4306930864100994, f1_score:0.43795526499218634 
 epoch:5, test_acc_:0.6282501816749573, precision:0.5414426450394595, recall:0.49479863357746795, f1_score:0.492111840033766 
 epoch:7, test_acc_:0.6465214490890503, precision:0.6273375672248668, recall:0.49795240075443736, f1_score:0.5307593204829341 
 epoch:11, test_acc_:0.6669009327888489, precision:0.619038053227462, recall:0.5480835789152583, f1_score:0.5651040929951947 
 epoch:12, test_acc_:0.6753337979316711, precision:0.6742338465998269, recall:0.5680412035516376, f1_score:0.6104163572390429 
 epoch:15, test_acc_:0.6781447529792786, precision:0.6106836771359089, recall:0.6135084471855484, f1_score:0.6037357671574899 
 epoch:16, test_acc_:0.7006324529647827, precision:0.6511832382796948, recall:0.630947120906721, f1_score:0.6340061791474573 
 epoch:17, test_acc_:0.7097681164741516, precision:0.6549781796768829, recall:0.6490557941236345, f1_score:0.6419328941149391 
 epoch:23, test_acc_:0.7217146754264832, precision:0.6829724560713858, recall:0.6822509772073324, f1_score:0.6736330866001844 
 epoch:31, test_acc_:0.7301475405693054, precision:0.6978505874092329, recall:0.7100849400671058, f1_score:0.6988340252111092 
 epoch:32, test_acc_:0.750527024269104, precision:0.7727589872887515, recall:0.6899870383708111, f1_score:0.7225307358512109 
 epoch:34, test_acc_:0.7568517327308655, precision:0.7402903975719815, recall:0.7010229298510836, f1_score:0.7175864669331375 
 epoch:36, test_acc_:0.7617709040641785, precision:0.7682616418448085, recall:0.6989238336758419, f1_score:0.7267954591075814 
 epoch:42, test_acc_:0.7624736428260803, precision:0.8011325590273589, recall:0.7228684791161387, f1_score:0.7557289340070849 
 epoch:43, test_acc_:0.7765284776687622, precision:0.7603141637804615, recall:0.7452058724442855, f1_score:0.7514769281261667 
 epoch:45, test_acc_:0.7779339551925659, precision:0.7831716404522557, recall:0.7237441609381945, f1_score:0.7453858801218854 
 epoch:49, test_acc_:0.7849613428115845, precision:0.7728256933110498, recall:0.7655243665436577, f1_score:0.76729590019035 
 epoch:56, test_acc_:0.7884750366210938, precision:0.7723472220533839, recall:0.7347286893060341, f1_score:0.7522387871255017 
 epoch:57, test_acc_:0.7905832529067993, precision:0.7783919277232514, recall:0.761679819369377, f1_score:0.7694665922315231 
 epoch:60, test_acc_:0.7983134388923645, precision:0.7885146093744863, recall:0.7628260597281847, f1_score:0.7739158298614515 
 epoch:64, test_acc_:0.8032326102256775, precision:0.7951711195861131, recall:0.7767636160207172, f1_score:0.7842516627905509 
 epoch:72, test_acc_:0.8158819079399109, precision:0.8156296977278037, recall:0.7943984995217714, f1_score:0.8041612192415084 
 
